Partner,Circuit ID,Billing Circuit ID,Deactivated Circuit ID,Client_Type,Client Name,Installation Date,Building/Hub ID,Building/Hub Name,Latitude,Longitude,Town/Location/Area,County,Region,Region Classification,Technology,Service Provider,Service Type,IP Address,VLAN,Aggregation Point,Bandwidth,Contact Person,Phone number,Email Address,Client Name.1,Phone,Email,Unnamed: 20,Aggregation Point ,Contact Person 
Bens,95024490,95024490,,,ISLAND TECHNOLOGIES LAMU,50,LAM143070,ISLAND TECHNOLOGIES LAMU,"S 02° 16' 9.36"" ","E 40°54'01.88""",Lamu Island,Lamu,Coast,Hardship,Fiber,SFC,Internet,197.248.193.234,888,Malindi Shella,40Mbps,Paul Mungai,726401056,palkamos@gmail.com / pmungai@islandtecs.com,,,,,,
Bens,748603564,,,,TRACE CORE AFRICA LAMU,,,,"4° 2'25.47""S ","39°39'9.33""E",Lamu Island,Lamu,Coast,Hardship,Fixed LTE,SFC,Internet,41.90.17.184,,Malindi Shella,2 MBPs, ALI MOHAMED,720858960,athman@gmail.com,,,,,,
Bens,95009772,95009772,,Platinum,WORLD VISION MARAFA,,13098_CO_EL0994,Marafa Town,S 03 02 00.52 ,E 039 57 46.60,Marafa,Kilifi,Coast,Difficult,Radwin,SFC,Internet,41.139.156.42,718,Government Chemist,1mb,Victor Kalu / JULIET,0726205416/ 722425765,victor_kalu@wvi.org / juliet.motende@wvi.com,,,,,,
Bens,95097892,,,,SHELA HOUSE MANAGEMENT - OFFICE,,13111_CO_EL1020,Lamu_Exchange,S 02 17 40.1 ,E 040 54 31.4,Lamu Island,Lamu,Coast,Hardship,Wimax,SFC,Internet,197.248.91.54,781,Malindi Shella,,ANGELICA/Simon ,"0720745935, 716572370 / 0702638732",info@shelahouse.com,,,,,,
Bens,95012630,95012630,,Platinum, KPLC HOLA,,13105_MK_EU1650,HOLA TOWN,S 01 29 54.6      ,E 040 2 11.8,Hola,Tana River,Coast,Hardship,Ceragon,SFC,WAN/IP MPLS,172.30.64.186 ,3369,Malindi Shella,2Mbps,R. Korir / Ndegwa / ASHA,0723301750 / 0722867011 / 722874404,rlagat@kplc.co.ke / jndegwa@kplc.co.ke / lkariuki@kplc.co.ke,,,,,,
Bens,95011191,95011191,,General Support, KPLC LAMU,,14052_CO_EL1055,Lamu North,S 02 16 01.16 ,  E 040 54 07.83,Lamu Island,Lamu,Coast,Hardship,Ceragon,SFC,WAN/IP MPLS,172.30.64.170,,Malindi Shella,,Asha Mohamed / Peter (local contact David Zumbo), 0722874404 / 0722478237 (0728116477) ,amohamed@kplc.co.ke /  pmbae@kplc.co.ke (dzumbo@kplc.co.ke),,,,,,
Bens,95004565,95004565,,Platinum,GULF AFRICAN BANK LAMU,,14052_CO_EL1055,Lamu North,S 02 16 16.4, E 040 54 11.2,Lamu Island,Lamu,Coast,Hardship,Ceragon,SFC,WAN/IP MPLS,172.30.47.94 ,,Malindi Shella,,Herman Agida / Latifa Omar / Eric ,0709075263 /  0722967016 / 0736767348,herman.agida@gab.co.ke / eric.njeru@gab.co.ke,,,,,,
Bens,95036109,95036109,,Platinum,NIB-GALANA LOOP,,13751_CO_EL0883,ADC Galana,S 03 3 57.3,E 039 19 44.3,Galana,Tana River,Coast,Hardship,Radwin,SFC,WAN/IP MPLS,172.30.47.68/30 ,3131,Malindi Shella,2MBPS,Osike Otieno / Eng. Ochiere/  Waweru / DENNIS MUCHORA/CHARLES NDIRANGU , 0710848559 / 0721315421 / 0721776725 / 0721 960344/0721776725/0726892481,galanafsp@go.ke / otienoosike@gmail.com,,,,,,
Bens,95020846,95020846,,Platinum,Natianal Irrigation Boared - Hola,,13105_MK_EU1650,HOLA TOWN,"S 1o 29' 59.10""         ","E 40o 01' 20.20""",Hola,Tana River,Coast,Hardship,Ceragon,SFC,WAN/IP MPLS,172.30.47.18 ,3101,Malindi Shella,2mb, Lilian Ngama / Kimanzi  / Malonza,0729678192 / 0722333125 / 703486014,lngama@nib.or.ke / kkimanzi@nib.or.ke / mmunyoki@nib.or.ke,,,,,,
Bens,95020847,95020847,,Platinum,Natianal Irrigation Boared -Bura,,16561_CO_EL1691,Bura_Kilulunyi,"S 01 11' 04.8"""," E 039 49' 59.6""",Bura-Tana River County,Tana River,Coast,Hardship,Radwin,SFC,WAN/IP MPLS,172.30.47.14,3100,Malindi Shella,,Nancy,0722587787,mlukaria@nib.or.ke,,,,,,
